734,712,681,782,942,819,917,1109,1102,1034
1659,1822,1793,1612,1844,1778,1532,1648,1653,1775
2711,2685,2720,3310,3949,3800,4120,4779,4754,4472
1316,1377,1328,1507,1762,1636,1868,2178,2233,2264
296,292,280,349,307,354,393,511,514,475
916,963,852,1013,995,1022,1007,1164,1212,1182
2574,2638,2778,3467,7486,7244,7378,7603,7021,6824
1021,1083,1138,1021,1195,1090,1306,1471,1477,1353
1038,1221,1158,1093,1113,1238,1563,1585,1655,1704
266,250,251,344,396,420,382,386,416,402
590,567,540,573,585,546,569,593,567,573
229,250,310,310,430,482,401,445,494,407
1787,1891,1897,2242,2717,2658,3036,3390,3539,3330
959,984,1001,1119,1264,1395,1687,1841,1955,1816
877,834,777,1013,1316,1252,1525,1799,1753,1524
