2345,2619,2800,3085,3326,3422,3459,3516,3625,3736
34968,37596,40697,44274,47518,48497,50246,52876,56529,58496
5893,6440,6512,7249,8371,7633,8954,8942,9199,9874
3878,4275,4636,5198,5544,5719,6122,6152,6494,6753
566,629,690,714,779,798,820,805,839,842
1452,1531,1757,2194,2663,2833,2915,3086,3187,3241
2197,2169,2438,2793,3060,3224,3322,3314,3500,3670
3731,4045,4233,4746,5088,5042,5371,5542,5674,5788
14927,15716,16536,17392,18896,20169,21806,22117,23243,23814
545,630,664,784,862,898,992,971,916,899
1305,1497,1576,1644,1817,2007,2060,2110,2182,2350
490,526,554,598,672,701,774,837,887,884
9962,11054,11832,12833,13950,14252,14774,15372,16417,17838
3761,4202,4481,4814,5146,5314,5528,5734,5931,6217
1772,1858,1962,1969,2143,2294,2428,2512,2590,2657
