491,611,797,843,726,860,516,622,634,561
16551,17937,17685,16413,17542,15770,16640,16834,17110,17539
3278,3445,4260,4418,3556,5288,3304,3644,4614,3804
2138,2210,2297,2337,2500,2345,2096,2411,2506,2400
236,235,202,222,243,255,234,215,228,261
2334,2561,2581,2162,1608,1626,1649,1674,1682,1830
1614,1558,1446,1707,1620,2288,1364,1574,1734,1897
1472,1493,1732,1482,1566,1624,1477,1559,1521,1519
4513,4568,5152,5096,5352,4683,3902,4319,4782,4568
563,575,626,578,666,674,554,606,758,883
776,803,744,883,898,847,899,996,1037,962
162,153,216,254,254,315,277,266,279,292
5315,5726,5968,5882,5921,6375,6075,6318,6512,6498
1451,1492,1486,1361,1418,1402,1214,1190,1204,1260
574,510,671,653,714,902,568,627,697,654
