3570,3942,4278,4710,4994,5101,4892,5247,5361,5331
53178,57355,60175,62299,66904,66045,68418,71358,75292,77810
11882,12570,13492,14977,15876,16721,16378,17365,18567,18150
7332,7862,8261,9042,9806,9700,10086,10741,11233,11417
1098,1156,1172,1285,1329,1407,1447,1531,1581,1578
4702,5055,5190,5369,5266,5481,5571,5924,6081,6253
6385,6365,6662,7967,12166,12756,12064,12491,12255,12391
6224,6620,7103,7249,7849,7756,8154,8572,8672,8660
20478,21505,22846,23581,25361,26090,27271,28021,29680,30086
1374,1455,1541,1706,1924,1992,1928,1963,2090,2184
2671,2867,2860,3100,3300,3400,3528,3699,3786,3885
881,929,1080,1162,1356,1498,1452,1548,1660,1583
17064,18671,19697,20957,22588,23285,23885,25080,26468,27666
6171,6678,6968,7294,7828,8111,8429,8765,9090,9293
3223,3202,3410,3635,4173,4448,4521,4938,5040,4835
